rule,precision,parsimonia,cobertura,gini,sparsidad,samples
si higher_yes ≤ 0.50 y absences ≤ 1.00 entonces Reprobado,1.0,0.3333333333333333,0.0026041666666666665,0.0,2,1.0
si higher_yes ≤ 0.50 y absences > 1.00 y age ≤ 16.50 entonces Aprobado,1.0,0.25,0.0026041666666666665,0.0,3,1.0
si higher_yes ≤ 0.50 y absences > 1.00 y age > 16.50 y goout ≤ 3.50 y reason_other ≤ 0.50 y Walc ≤ 3.50 entonces Reprobado,1.0,0.14285714285714285,0.0026041666666666665,0.0,6,1.0
si higher_yes ≤ 0.50 y absences > 1.00 y age > 16.50 y goout ≤ 3.50 y reason_other ≤ 0.50 y Walc > 3.50 entonces Aprobado,1.0,0.14285714285714285,0.0026041666666666665,0.0,6,1.0
si higher_yes ≤ 0.50 y absences > 1.00 y age > 16.50 y goout ≤ 3.50 y reason_other > 0.50 entonces Aprobado,1.0,0.16666666666666666,0.0026041666666666665,0.0,5,1.0
si higher_yes ≤ 0.50 y absences > 1.00 y age > 16.50 y goout > 3.50 entonces Reprobado,1.0,0.2,0.0026041666666666665,0.0,4,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother ≤ 0.50 y famrel ≤ 4.50 y paid_yes ≤ 0.50 y Fjob_services ≤ 0.50 y goout ≤ 2.50 entonces Reprobado,0.8333333333333334,0.125,0.0026041666666666665,0.2777777777777777,7,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother ≤ 0.50 y famrel ≤ 4.50 y paid_yes ≤ 0.50 y Fjob_services ≤ 0.50 y goout > 2.50 entonces Reprobado,1.0,0.125,0.0026041666666666665,0.0,7,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother ≤ 0.50 y famrel ≤ 4.50 y paid_yes ≤ 0.50 y Fjob_services > 0.50 y freetime ≤ 3.50 entonces Reprobado,0.8,0.125,0.0026041666666666665,0.31999999999999984,7,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother ≤ 0.50 y famrel ≤ 4.50 y paid_yes ≤ 0.50 y Fjob_services > 0.50 y freetime > 3.50 entonces Aprobado,1.0,0.125,0.0026041666666666665,0.0,7,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother ≤ 0.50 y famrel ≤ 4.50 y paid_yes > 0.50 y Fedu ≤ 3.50 y absences ≤ 9.00 entonces Aprobado,0.5384615384615384,0.125,0.0026041666666666665,0.4970414201183432,7,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother ≤ 0.50 y famrel ≤ 4.50 y paid_yes > 0.50 y Fedu ≤ 3.50 y absences > 9.00 entonces Reprobado,0.9375,0.125,0.0026041666666666665,0.1171875,7,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother ≤ 0.50 y famrel ≤ 4.50 y paid_yes > 0.50 y Fedu > 3.50 entonces Aprobado,1.0,0.14285714285714285,0.0026041666666666665,0.0,6,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother ≤ 0.50 y famrel > 4.50 y age ≤ 16.50 entonces Aprobado,1.0,0.16666666666666666,0.0026041666666666665,0.0,5,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother ≤ 0.50 y famrel > 4.50 y age > 16.50 y studytime ≤ 2.50 y nursery_yes ≤ 0.50 entonces Reprobado,1.0,0.125,0.0026041666666666665,0.0,7,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother ≤ 0.50 y famrel > 4.50 y age > 16.50 y studytime ≤ 2.50 y nursery_yes > 0.50 entonces Aprobado,0.6666666666666666,0.125,0.0026041666666666665,0.4444444444444444,7,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother ≤ 0.50 y famrel > 4.50 y age > 16.50 y studytime > 2.50 entonces Aprobado,1.0,0.14285714285714285,0.0026041666666666665,0.0,6,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother > 0.50 y absences ≤ 13.00 y absences ≤ 0.50 y Pstatus_T ≤ 0.50 entonces Aprobado,1.0,0.14285714285714285,0.0026041666666666665,0.0,6,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother > 0.50 y absences ≤ 13.00 y absences ≤ 0.50 y Pstatus_T > 0.50 y Medu ≤ 3.50 entonces Reprobado,0.7142857142857143,0.125,0.0026041666666666665,0.40816326530612246,7,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother > 0.50 y absences ≤ 13.00 y absences ≤ 0.50 y Pstatus_T > 0.50 y Medu > 3.50 entonces Aprobado,0.6923076923076923,0.125,0.0026041666666666665,0.42603550295857995,7,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother > 0.50 y absences ≤ 13.00 y absences > 0.50 y health ≤ 1.50 entonces Aprobado,1.0,0.14285714285714285,0.0026041666666666665,0.0,6,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother > 0.50 y absences ≤ 13.00 y absences > 0.50 y health > 1.50 y studytime ≤ 3.50 entonces Aprobado,0.7647058823529411,0.125,0.0026041666666666665,0.3598615916955018,7,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother > 0.50 y absences ≤ 13.00 y absences > 0.50 y health > 1.50 y studytime > 3.50 entonces Reprobado,1.0,0.125,0.0026041666666666665,0.0,7,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother > 0.50 y absences > 13.00 y Mjob_health ≤ 0.50 y Mjob_other ≤ 0.50 y Fjob_teacher ≤ 0.50 entonces Reprobado,0.9473684210526315,0.125,0.0026041666666666665,0.09972299168975085,7,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother > 0.50 y absences > 13.00 y Mjob_health ≤ 0.50 y Mjob_other ≤ 0.50 y Fjob_teacher > 0.50 entonces Aprobado,1.0,0.125,0.0026041666666666665,0.0,7,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother > 0.50 y absences > 13.00 y Mjob_health ≤ 0.50 y Mjob_other > 0.50 entonces Aprobado,1.0,0.14285714285714285,0.0026041666666666665,0.0,6,1.0
si higher_yes > 0.50 y reason_reputation ≤ 0.50 y guardian_mother > 0.50 y absences > 13.00 y Mjob_health > 0.50 entonces Aprobado,1.0,0.16666666666666666,0.0026041666666666665,0.0,5,1.0
si higher_yes > 0.50 y reason_reputation > 0.50 y absences ≤ 13.50 y goout ≤ 2.50 entonces Aprobado,1.0,0.2,0.0026041666666666665,0.0,4,1.0
si higher_yes > 0.50 y reason_reputation > 0.50 y absences ≤ 13.50 y goout > 2.50 y failures ≤ 1.50 y sex_M ≤ 0.50 y Mjob_services ≤ 0.50 entonces Aprobado,0.6190476190476191,0.125,0.0026041666666666665,0.47165532879818595,7,1.0
si higher_yes > 0.50 y reason_reputation > 0.50 y absences ≤ 13.50 y goout > 2.50 y failures ≤ 1.50 y sex_M ≤ 0.50 y Mjob_services > 0.50 entonces Aprobado,1.0,0.125,0.0026041666666666665,0.0,7,1.0
si higher_yes > 0.50 y reason_reputation > 0.50 y absences ≤ 13.50 y goout > 2.50 y failures ≤ 1.50 y sex_M > 0.50 entonces Aprobado,1.0,0.14285714285714285,0.0026041666666666665,0.0,6,1.0
si higher_yes > 0.50 y reason_reputation > 0.50 y absences ≤ 13.50 y goout > 2.50 y failures > 1.50 entonces Reprobado,1.0,0.16666666666666666,0.0026041666666666665,0.0,5,1.0
si higher_yes > 0.50 y reason_reputation > 0.50 y absences > 13.50 y Fjob_other ≤ 0.50 entonces Reprobado,1.0,0.2,0.0026041666666666665,0.0,4,1.0
si higher_yes > 0.50 y reason_reputation > 0.50 y absences > 13.50 y Fjob_other > 0.50 y famrel ≤ 4.50 y failures ≤ 1.50 entonces Aprobado,1.0,0.14285714285714285,0.0026041666666666665,0.0,6,1.0
si higher_yes > 0.50 y reason_reputation > 0.50 y absences > 13.50 y Fjob_other > 0.50 y famrel ≤ 4.50 y failures > 1.50 entonces Reprobado,1.0,0.14285714285714285,0.0026041666666666665,0.0,6,1.0
si higher_yes > 0.50 y reason_reputation > 0.50 y absences > 13.50 y Fjob_other > 0.50 y famrel > 4.50 entonces Reprobado,1.0,0.16666666666666666,0.0026041666666666665,0.0,5,1.0
