rule,prediction,precision,parsimony,coverage,gini,sparsity,samples,covered_indices
Fedu > 1,Reprobado,0.6595744680851063,0.5,0.24479166666666666,0.44907197827071077,1,94,"[14, 20, 31, 38, 46, 47, 50, 52, 57, 59, 61, 62, 64, 67, 76, 78, 82, 83, 93, 94, 96, 97, 103, 106, 112, 114, 115, 116, 126, 132, 136, 143, 145, 146, 154, 155, 159, 167, 177, 180, 190, 204, 210, 214, 231, 241, 242, 248, 251, 253, 254, 258, 260, 261, 268, 276, 281, 282, 283, 284, 289, 291, 293, 294, 304, 306, 311, 313, 314, 316, 321, 323, 324, 325, 326, 328, 330, 332, 336, 338, 340, 342, 350, 352, 354, 355, 360, 365, 369, 370, 371, 375, 377, 378]"
Fedu > 4,Aprobado,0.6052631578947368,0.5,0.19791666666666666,0.4778393351800554,1,76,"[2, 3, 12, 13, 15, 16, 17, 26, 32, 37, 42, 48, 51, 53, 56, 58, 63, 65, 72, 73, 79, 80, 81, 85, 88, 89, 91, 98, 99, 100, 105, 111, 118, 119, 125, 133, 138, 140, 141, 142, 150, 152, 160, 165, 170, 179, 182, 186, 194, 199, 202, 213, 215, 217, 224, 230, 232, 235, 236, 243, 249, 259, 266, 275, 280, 285, 292, 296, 309, 319, 320, 327, 346, 347, 348, 363]"
absences > 0,Reprobado,0.65625,0.5,0.3333333333333333,0.451171875,1,128,"[3, 8, 9, 12, 14, 16, 17, 25, 27, 28, 31, 32, 37, 55, 57, 65, 66, 69, 71, 72, 74, 90, 91, 92, 96, 98, 99, 100, 102, 110, 111, 118, 123, 124, 126, 130, 134, 136, 139, 141, 145, 155, 162, 169, 178, 180, 182, 183, 184, 185, 187, 194, 197, 202, 203, 204, 207, 211, 213, 218, 223, 231, 232, 233, 234, 236, 242, 243, 249, 251, 253, 255, 257, 258, 259, 261, 262, 269, 271, 274, 276, 278, 281, 282, 285, 293, 295, 296, 299, 302, 304, 307, 311, 312, 313, 314, 323, 324, 326, 327, 330, 335, 336, 338, 340, 341, 342, 346, 348, 351, 355, 357, 358, 359, 361, 362, 363, 365, 367, 368, 370, 371, 375, 377, 378, 380, 381, 382]"
failures > 1,Reprobado,0.6764705882352942,0.5,0.17708333333333334,0.4377162629757785,1,68,"[1, 8, 14, 15, 22, 25, 77, 78, 79, 86, 102, 115, 124, 129, 132, 137, 145, 146, 150, 153, 159, 163, 178, 180, 189, 190, 194, 208, 210, 215, 217, 222, 226, 227, 248, 250, 255, 257, 260, 278, 282, 285, 293, 299, 300, 301, 302, 305, 306, 312, 318, 322, 323, 327, 335, 343, 346, 348, 353, 355, 357, 362, 363, 364, 367, 374, 375, 376]"
goout > 2,Aprobado,0.6354166666666666,0.5,0.25,0.4633246527777778,1,96,"[0, 1, 2, 3, 4, 7, 10, 11, 16, 17, 18, 25, 27, 35, 36, 37, 43, 44, 47, 51, 58, 61, 62, 63, 66, 72, 77, 81, 82, 86, 90, 100, 102, 103, 106, 107, 108, 111, 112, 116, 127, 130, 136, 142, 143, 146, 149, 155, 157, 162, 164, 168, 169, 176, 184, 187, 188, 195, 196, 203, 216, 226, 227, 228, 236, 243, 244, 249, 250, 251, 254, 259, 261, 272, 276, 283, 288, 290, 296, 297, 299, 302, 314, 325, 326, 327, 335, 338, 345, 346, 347, 348, 357, 360, 371, 383]"
reason_reputation > True,Aprobado,0.725,0.5,0.20833333333333334,0.39874999999999994,1,80,"[0, 5, 8, 12, 13, 20, 21, 25, 30, 32, 42, 43, 47, 49, 53, 54, 55, 56, 62, 73, 74, 75, 76, 79, 82, 85, 88, 93, 95, 100, 104, 110, 121, 127, 132, 133, 136, 144, 145, 149, 150, 158, 164, 165, 166, 168, 170, 175, 177, 181, 183, 185, 188, 192, 197, 200, 203, 204, 205, 210, 212, 220, 226, 227, 239, 243, 247, 250, 254, 256, 257, 264, 269, 270, 274, 280, 292, 320, 374, 375]"
Fedu > 3 y failures > 0,Aprobado,0.618421052631579,0.3333333333333333,0.19791666666666666,0.4719529085872576,2,76,"[0, 4, 7, 10, 19, 23, 30, 35, 40, 41, 45, 49, 60, 69, 74, 75, 84, 87, 90, 92, 101, 113, 117, 121, 122, 123, 130, 131, 134, 139, 148, 157, 168, 169, 171, 172, 175, 176, 185, 191, 193, 196, 198, 200, 205, 209, 212, 216, 219, 220, 225, 234, 237, 239, 246, 256, 262, 269, 270, 274, 286, 288, 303, 307, 308, 315, 317, 329, 331, 337, 341, 344, 349, 358, 359, 380]"
absences > 2,Aprobado,0.8125,0.5,0.125,0.3046875,1,48,"[2, 5, 10, 19, 23, 24, 40, 44, 45, 49, 50, 52, 54, 58, 73, 76, 81, 83, 85, 95, 105, 108, 109, 116, 122, 131, 135, 138, 142, 146, 147, 164, 166, 171, 172, 190, 201, 215, 216, 224, 225, 228, 235, 238, 244, 245, 265, 360]"
reason_reputation > False y goout > 4,Reprobado,0.6338028169014085,0.3333333333333333,0.18489583333333334,0.4641936123784963,2,71,"[6, 9, 15, 28, 33, 38, 48, 50, 64, 68, 69, 83, 84, 89, 91, 94, 101, 105, 115, 118, 123, 124, 126, 159, 161, 163, 172, 173, 178, 180, 186, 199, 202, 206, 208, 213, 215, 230, 231, 235, 237, 260, 267, 291, 293, 303, 305, 306, 308, 313, 315, 317, 322, 330, 331, 333, 334, 336, 337, 340, 349, 351, 355, 364, 365, 366, 367, 370, 376, 379, 381]"
goout > 3 y Fedu > 2 y failures > 0,Aprobado,0.6285714285714286,0.25,0.09114583333333333,0.46693877551020413,3,35,"[24, 39, 54, 70, 71, 95, 109, 110, 120, 128, 135, 147, 151, 158, 181, 201, 218, 221, 223, 233, 238, 240, 245, 247, 263, 264, 271, 279, 287, 295, 298, 310, 339, 356, 372]"
